"rio","mortalidad"
"Contaminado",57.2559860781983
"Contaminado",45.4076157037853
"Contaminado",66.8475923125393
"Contaminado",51.4658401680351
"Contaminado",29.7014290707041
"Contaminado",45.2782991989397
"Contaminado",33.6762807321296
"Contaminado",28.216446939054
"Contaminado",50.5920865108761
"Contaminado",56.4786063669764
"Contaminado",42.3857311133469
"Contaminado",36.7115767387606
"Contaminado",43.9796925277163
"Contaminado",34.4947472764952
"Contaminado",57.0300179515007
"Contaminado",55.7450300510831
"Contaminado",34.0470849043379
"Contaminado",43.7593113842929
"Contaminado",60.4721605508961
"Contaminado",48.3194076467193
"Contaminado",50.0951589246488
"Contaminado",54.17240223978
"Contaminado",56.2683419668077
"Contaminado",62.0624313870859
"Contaminado",57.7256536861362
"Contaminado",36.2243293593515
"Contaminado",46.3757307468482
"Contaminado",53.0229849579678
"Contaminado",48.9092012388187
"Contaminado",28.2083471879607
"Contaminado",42.4188527500562
"Contaminado",60.1455115132308
"Contaminado",51.5804716206518
"Contaminado",35.2743956238528
"Contaminado",52.1592620622954
"Contaminado",48.4129252679215
"Contaminado",56.7185387340111
"Contaminado",71.0655860175097
"Contaminado",34.8409986893714
"Contaminado",44.949364780092
"Contaminado",48.612370596576
"Contaminado",28.6379499961623
"Contaminado",49.6878000403984
"Contaminado",44.0683096208757
"Contaminado",72.3560276857964
"Contaminado",20.8202378611664
"Contaminado",64.8822116820748
"Contaminado",60.0802466769112
"Contaminado",57.350916296203
"Contaminado",51.468119927248
"Contaminado",42.891997047958
"Contaminado",61.0563140078162
"Contaminado",41.1425293496441
"Contaminado",56.9476181786188
"Contaminado",54.0263918531464
"Contaminado",60.7623819643517
"Contaminado",44.0345356851151
"Contaminado",44.1901237202297
"Contaminado",53.0207656381221
"Contaminado",53.0568515551434
"Contaminado",63.7399835400225
"Contaminado",54.8539942838607
"Contaminado",51.4484003934765
"Contaminado",58.4261984391545
"Contaminado",44.5639218423724
"Contaminado",60.929718962791
"Contaminado",39.7745839613841
"Contaminado",53.3814737137287
"Contaminado",32.9315423638727
"Contaminado",52.4644925820667
"Contaminado",34.3203686885797
"Contaminado",47.6851505503467
"Contaminado",32.4254454993354
"Contaminado",43.6038017010125
"Contaminado",42.2383309006571
"Contaminado",55.5477465298797
"Contaminado",44.1787786991429
"Contaminado",42.3140489812745
"Contaminado",62.2151568781476
"Contaminado",66.6917040967207
"Contaminado",60.9348038421025
"Contaminado",35.0875749485855
"Contaminado",62.7665308259526
"Contaminado",37.714624292603
"Contaminado",49.2804897801819
"Contaminado",57.3445820331274
"Contaminado",47.8611291960997
"Contaminado",48.4960719638218
"Contaminado",51.2538242623055
"Contaminado",54.2785802210652
"Contaminado",54.1135067907326
"Contaminado",32.7363874613336
"Contaminado",48.2435176594011
"Contaminado",52.8683852320497
"Contaminado",55.9074001163935
"Contaminado",46.8263971583737
"Contaminado",42.9734835956583
"Contaminado",36.3241219840402
"Contaminado",42.7119275108017
"Contaminado",48.7847507435708
"Contaminado",43.6479395112681
"Contaminado",55.9470268812058
"Contaminado",53.6750123089776
"Contaminado",33.9126156531373
"Contaminado",53.1733184479833
"Contaminado",55.4170465821794
"Contaminado",47.3867301008549
"Contaminado",49.7350423803364
"Contaminado",45.6776169304627
"Contaminado",47.0661325721339
"Contaminado",39.9295987463269
"Contaminado",54.252075996399
"Contaminado",37.7518340766451
"Contaminado",44.0953534467288
"Contaminado",40.8636193086151
"Contaminado",41.2908228564333
"Contaminado",46.3144436020643
"Contaminado",45.1474748390724
"Contaminado",43.0003812081797
"Contaminado",47.4656610321738
"Contaminado",34.1510239192082
"Contaminado",51.1103836752132
"Contaminado",56.3184615895685
