"genre","duration","loudness"
"classic pop and rock",246.33424,-8.697
"classic pop and rock",189.80526,-10.659
"classic pop and rock",158.1971,-13.494
"classic pop and rock",250.22649,-12.786
"classic pop and rock",307.06893,-14.093
"classic pop and rock",254.17098,-11.952
"classic pop and rock",230.32118,-11.839
"classic pop and rock",177.55383,-13.76
"classic pop and rock",81.24036,-18.054
"classic pop and rock",94.24934,-20.142
"classic pop and rock",232.75057,-9.619
"classic pop and rock",133.51138,-27.067
"classic pop and rock",103.75791,-12.932
"classic pop and rock",24.99873,-14.695
"classic pop and rock",189.80526,-10.648
"classic pop and rock",231.3922,-10.799
"classic pop and rock",241.162,-11.413
"classic pop and rock",220.26404,-10.088
"classic pop and rock",349.23057,-9.706
"classic pop and rock",469.89016,-12.083
"classic pop and rock",226.0371,-7.264
"classic pop and rock",364.61669,-8.829
"classic pop and rock",488.69832,-5.589
"classic pop and rock",269.29587,-11.189
"classic pop and rock",268.69506,-6.562
"classic pop and rock",267.49342,-11.675
"classic pop and rock",295.23546,-8.498
"classic pop and rock",244.45342,-7.44
"classic pop and rock",402.49424,-7.406
"classic pop and rock",219.79383,-7.934
"classic pop and rock",278.46485,-8.559
"classic pop and rock",358.21669,-10.428
"classic pop and rock",376.92036,-9.994
"classic pop and rock",319.60771,-9.088
"classic pop and rock",465.8673,-8.598
"classic pop and rock",271.33342,-8.5
"classic pop and rock",281.65179,-10.231
"classic pop and rock",250.33098,-10.738
"classic pop and rock",245.73342,-10.831
"classic pop and rock",192.1824,-8.744
"classic pop and rock",287.79057,-12.305
"classic pop and rock",222.32771,-12.188
"classic pop and rock",194.69016,-11.183
"classic pop and rock",225.61914,-11.834
"classic pop and rock",308.61016,-8.427
"classic pop and rock",279.50975,-12.559
"classic pop and rock",494.68036,-10.835
"classic pop and rock",425.82159,-12.116
"classic pop and rock",263.99302,-11.971
"classic pop and rock",450.01098,-10.168
"classic pop and rock",190.48444,-8.636
"classic pop and rock",322.42893,-7.816
"classic pop and rock",176.77016,-8.17
"classic pop and rock",202.73587,-8.107
